Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,PersonalLoan
52,28,48,400,4,0.026547965973202747,2,0,0,0,0,0,0
42,23,77,40,1,0.10041909223150419,1,0,0,0,0,0,0
37,15,150,94,3,0.21113389110107633,1,0,0,0,0,1,0
51,26,81,108,4,5.732272494942375,1,217,0,1,1,1,0
37,5,40,343,2,0.4493966427628462,1,0,0,0,1,0,0
51,28,136,108,2,2.5055276972454963,1,0,0,0,1,0,0
35,5,142,150,1,4.113100593442498,1,0,0,1,1,0,1
41,20,17,315,1,0.3980810441096509,3,148,1,0,0,1,0
46,21,55,430,1,2.5109853395245856,1,0,0,0,1,0,0
42,16,170,310,2,3.2034255880745848,1,0,0,0,1,0,1
59,34,163,381,2,1.4068419979817468,1,0,0,0,1,0,0
38,15,14,151,4,0.62084629433108,2,0,1,0,0,1,0
25,-2,6,275,1,5.274592725654225,1,0,0,0,1,0,0
42,23,99,186,2,2.6074946021834196,1,0,0,0,0,1,0
34,4,15,349,2,0.9530958926564128,1,0,0,0,0,0,0
34,4,105,259,4,3.5479925320354333,1,0,0,0,0,0,1
50,27,86,178,3,0.08834451818674571,1,0,0,0,0,0,0
51,27,45,54,3,0.6090080000226228,3,138,0,0,1,0,0
28,0,135,150,2,4.512505790687977,1,427,0,0,0,0,1
33,7,74,242,2,0.3948190781992912,1,201,0,0,1,1,0
36,12,73,275,3,2.196843989926279,1,0,1,0,0,0,0
38,12,53,360,4,0.3769582557318053,2,0,0,0,1,0,0
58,27,29,458,2,2.160202796293363,1,0,1,0,1,0,0
29,3,8,259,4,2.689911444195409,2,0,0,0,0,1,0
29,5,12,43,1,0.6409213341693478,1,86,1,0,1,0,0
32,5,22,267,2,0.5926844940228899,3,0,0,0,0,0,0
41,13,76,352,1,0.11086459087294057,1,0,0,0,1,0,0
27,1,7,259,4,3.108952074472584,1,0,0,0,1,1,0
59,36,99,367,4,0.21756232051397673,1,0,0,0,1,0,0
30,1,63,15,2,2.7882268763808025,2,0,0,0,1,0,0
60,37,145,135,1,4.2967575675382585,1,0,0,0,1,0,1
34,5,33,150,4,1.5262480908610747,1,0,0,0,1,1,0
60,36,158,381,1,5.901831501724149,1,0,0,0,1,0,1
37,13,26,385,2,0.8556243454253883,1,0,0,0,1,1,0
39,5,19,359,1,2.6115066306134813,1,0,1,0,1,0,0
45,24,16,251,2,1.7771980956899576,2,0,0,0,1,0,0
62,35,137,367,2,0.31593704704870174,1,0,0,0,1,1,0
39,9,69,259,4,1.352958257364842,1,0,0,0,1,0,0
50,35,133,437,2,1.7315653323973206,2,0,0,0,1,1,0
57,34,172,381,4,1.5031297181898196,1,0,0,0,0,1,0
52,26,56,35,4,1.9010025932204466,2,129,0,0,0,0,0
32,2,132,349,1,5.434825016664536,1,0,0,0,0,0,0
51,25,28,304,3,1.832571354055062,2,0,0,0,1,1,0
50,29,34,373,1,0.30615029018016227,1,120,0,0,0,1,0
38,6,48,349,1,2.3664686529555183,1,0,0,0,0,0,0
58,34,100,381,1,1.6638133779940032,1,209,0,1,1,1,1
58,35,95,381,1,3.2064148158458217,1,0,0,0,1,1,0
36,17,157,54,2,1.2924955240371945,1,0,0,0,1,0,0
47,25,82,377,1,0.4522860087135764,1,0,0,1,1,1,0
60,30,125,355,1,6.391186293534522,1,0,0,0,0,1,0
59,34,57,286,1,6.813554312936501,1,0,0,0,0,0,0
60,37,90,243,1,0.45061810149022075,3,0,0,0,1,1,0
41,19,161,395,2,2.173988081432113,1,0,1,0,0,0,0
60,37,170,381,2,2.399109888802373,3,0,0,1,0,1,0
26,0,65,259,4,2.0471551379875987,1,0,0,0,0,0,0
40,11,81,96,4,2.6016217361028042,2,0,1,0,1,0,0
37,21,95,318,2,2.571070874655084,1,0,0,0,1,0,0
38,20,34,351,3,1.8339711675381627,2,0,0,0,0,0,0
39,9,10,134,1,0.8944187116536968,1,95,1,0,1,0,0
61,36,85,314,1,0.5702939618157702,3,0,1,0,1,1,0
54,23,24,428,2,1.5446631737561676,2,0,0,0,1,0,1
32,7,98,318,1,4.440831804448466,1,0,0,0,1,0,0
51,27,40,367,2,2.186981789225557,3,0,0,0,0,1,0
29,0,42,349,4,2.3241516461061105,1,0,0,0,1,0,0
60,37,174,381,3,1.0489917135050137,1,0,0,1,1,1,1
52,30,94,430,2,1.9514541201286477,3,0,0,0,1,1,0
52,27,82,367,3,0.3728384705948299,1,0,0,1,0,0,0
59,36,70,430,1,1.6183371167994733,3,0,0,0,1,0,0
61,37,91,45,2,2.2950173865574857,3,0,0,1,0,1,0
40,7,78,321,3,1.1642761095375602,2,0,0,0,0,0,0
26,-1,63,346,1,1.6097977741259126,1,0,0,0,1,0,0
49,23,167,34,1,0.5979170011300634,2,0,0,0,0,1,0
59,36,142,3,2,2.3401843846518644,3,297,1,1,1,0,0
48,26,77,246,3,0.9666475690029865,2,79,0,0,1,0,0
60,35,90,308,4,1.2415130572976067,1,0,0,0,0,0,0
45,16,61,273,3,0.2936521612024149,1,0,0,0,1,0,0
52,25,140,225,2,5.981756043139749,3,0,1,0,1,0,0
27,-2,17,150,4,1.5856832121310642,1,0,0,0,1,0,0
51,20,77,147,1,0.20063056624250936,2,153,0,0,0,0,0
37,9,75,111,4,1.72245194985486,3,0,0,0,0,0,1
